order_id,user_id,order_date,total_amount,payment_status
1001,10,2023-03-01 10:00:00,1200.0,paid
1002,11,2023-03-01 10:05:00,999.5,pending
1003,10,2023-03-01 10:10:00,0.0,cancelled
1004,12,2023-03-01 11:00:00,1450.0,paid
1005,10,2023-03-01 12:00:00,500.0,paid
1006,13,2023-03-02 09:00:00,2100.0,paid
1007,14,2023-03-02 09:30:00,300.0,pending
1008,15,2023-03-02 10:00:00,450.0,paid
1009,10,2023-03-02 10:15:00,1000.0,pending
1010,11,2023-03-02 11:00:00,799.0,paid
1011,12,2023-03-02 12:00:00,120.0,cancelled
1012,13,2023-03-03 08:00:00,2000.0,paid
1013,15,2023-03-03 09:00:00,450.0,paid
1014,15,2023-03-03 09:30:00,899.99,paid
1015,14,2023-03-03 10:00:00,1350.0,paid
1016,10,2023-03-03 11:00:00,750.0,pending
